Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
Bakuman. 3rd Season,https://cdn.myanimelist.net/images/anime/6/41845.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2012-10-06', 'to': '2013-03-30'}",PG-13 - Adolescents de 13 ans ou plus,8.67,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Shakugan no Shana II (Second),https://cdn.myanimelist.net/images/anime/10/18669.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2007-10-05', 'to': '2008-03-28'}",PG-13 - Adolescents de 13 ans ou plus,7.72,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
Nodame Cantabile: Paris-hen,https://cdn.myanimelist.net/images/anime/4/11918.jpg,TV,Manga,11,Diffusion terminé,"{'from': '2008-10-10', 'to': '2008-12-19'}",PG-13 - Adolescents de 13 ans ou plus,8.24,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei"
Kaichou wa Maid-sama!,https://cdn.myanimelist.net/images/anime/6/25254.jpg,TV,Manga,26,Diffusion terminé,"{'from': '2010-04-02', 'to': '2010-09-24'}",PG-13 - Adolescents de 13 ans ou plus,8.20,J.C.Staff,"Comedy, Romance, School, Shoujo"
Toradora!,https://cdn.myanimelist.net/images/anime/13/22128.jpg,TV,Light novel,25,Diffusion terminé,"{'from': '2008-10-02', 'to': '2009-03-26'}",PG-13 - Adolescents de 13 ans ou plus,8.39,J.C.Staff,"Slice of Life, Comedy, Romance, School"
Bakuman. 2nd Season,https://cdn.myanimelist.net/images/anime/3/34923.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2011-10-01', 'to': '2012-03-24'}",PG-13 - Adolescents de 13 ans ou plus,8.49,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Itazura na Kiss,https://cdn.myanimelist.net/images/anime/10/19933.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2008-04-05', 'to': '2008-09-25'}",PG-13 - Adolescents de 13 ans ou plus,7.70,TMS Entertainment,"Comedy, Romance, Shoujo"
One Piece,https://cdn.myanimelist.net/images/anime/6/73245.jpg,TV,Manga,0,Diffusion en cours,"{'from': '1999-10-20', 'to': None}",PG-13 - Adolescents de 13 ans ou plus,8.54,Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
Air Gear,https://cdn.myanimelist.net/images/anime/11/18227.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2006-04-05', 'to': '2006-09-27'}",R+ - Nudité douce,7.64,Toei Animation,"Action, Comedy, Ecchi, Shounen, Sports"
InuYasha,https://cdn.myanimelist.net/images/anime/8/20483.jpg,TV,Manga,167,Diffusion terminé,"{'from': '2000-10-16', 'to': '2004-09-13'}",PG-13 - Adolescents de 13 ans ou plus,7.90,Sunrise,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
Nodame Cantabile Finale,https://cdn.myanimelist.net/images/anime/4/20712.jpg,TV,Manga,11,Diffusion terminé,"{'from': '2010-01-15', 'to': '2010-03-26'}",PG-13 - Adolescents de 13 ans ou plus,8.34,J.C.Staff,"Comedy, Josei, Music, Romance"
Accel World,https://cdn.myanimelist.net/images/anime/8/38155.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2012-04-07', 'to': '2012-09-22'}",PG-13 - Adolescents de 13 ans ou plus,7.53,Sunrise,"Action, Game, Sci-Fi, Romance, School"
